localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,cp
2003010001,BALVANERA,2,CABA,3,COMUNA 3,10,1,1025
2001010002,MONSERRAT,2,CABA,1,COMUNA 1,10,2,1002
2001010005,SAN NICOLAS,2,CABA,1,COMUNA 1,10,5,1033
2003010001,BALVANERA,2,CABA,3,COMUNA 3,10,1,1034
6308020000,LABARDEN,6,BUENOS AIRES,308,GENERAL GUIDO,20,0,7161
6490010003,LOMAS DE ZAMORA,6,BUENOS AIRES,490,LOMAS DE ZAMORA,10,3,1832
14091180000,SAN ANTONIO DE ARREDONDO,14,CÓRDOBA,91,PUNILLA,180,0,5153
30056090000,LARROQUE,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,90,0,2854
30084200000,SAN BENITO,30,ENTRE RÍOS,84,PARANÁ,200,0,3107
6861010003,FLORIDA OESTE,6,BUENOS AIRES,861,VICENTE LÓPEZ,10,3,1602
2005010001,ALMAGRO,2,CABA,5,COMUNA 5,10,1,1204
18007010000,BELLA VISTA,18,CORRIENTES,7,BELLA VISTA,10,0,3432
6105060000,SAN CARLOS DE BOLIVAR,6,BUENOS AIRES,105,BOLÍVAR,60,0,6550
86035090000,LA BANDA,86,SANTIAGO DEL ESTERO,35,BANDA,90,0,4300
14182080000,CANALS,14,CÓRDOBA,182,UNIÓN,80,0,2650
14140030000,ARROYITO,14,CÓRDOBA,140,SAN JUSTO,30,0,2434
66035010000,CERRILLOS,66,SALTA,35,CERRILLOS,10,0,4403
2010010001,FLORESTA,2,CABA,10,COMUNA 10,10,1,1407
2010010005,VILLA LURO,2,CABA,10,COMUNA 10,10,5,1407
2001010005,SAN NICOLAS,2,CABA,1,COMUNA 1,10,5,1020
2006010001,CABALLITO,2,CABA,6,COMUNA 6,10,1,1424
2003010002,SAN CRISTOBAL,2,CABA,3,COMUNA 3,10,2,1229
30091100000,ROSARIO DEL TALA,30,ENTRE RÍOS,91,TALA,100,0,3174
6756010004,MARTINEZ,6,BUENOS AIRES,756,SAN ISIDRO,10,4,1640
6763050002,SAN NICOLAS DE LOS ARROYOS,6,BUENOS AIRES,763,SAN NICOLÁS,50,2,1642
14105190000,MONTECRISTO,14,CÓRDOBA,105,RÍO PRIMERO,190,0,5125
14021190000,MALVINAS ARGENTINAS,14,CÓRDOBA,21,COLÓN,190,0,5125
38112050000,LA QUIACA,38,JUJUY,112,YAVI,50,0,4650
78028010000,EL CALAFATE,78,SANTA CRUZ,28,LAGO ARGENTINO,10,0,9050
6638040014,VILLA ROSA,6,BUENOS AIRES,638,PILAR,40,14,1631
30098140000,VILLA SAN JUSTO,30,ENTRE RÍOS,98,URUGUAY,140,0,3262
66140050000,ROSARIO DE LA FRONTERA,66,SALTA,140,ROSARIO DE LA FRONTERA,50,0,4190
6441030024,VILLA ELVIRA,6,BUENOS AIRES,441,LA PLATA,30,24,1900
2012010003,VILLA PUEYRREDON,2,CABA,12,COMUNA 12,10,3,1419
2001010001,CONSTITUCION,2,CABA,1,COMUNA 1,10,1,1148
2003010002,SAN CRISTOBAL,2,CABA,3,COMUNA 3,10,2,1232
2011010002,VILLA DEVOTO,2,CABA,11,COMUNA 11,10,2,1417
6756010003,BOULOGNE SUR MER,6,BUENOS AIRES,756,SAN ISIDRO,10,3,1642
66147030000,ROSARIO DE LERMA,66,SALTA,147,ROSARIO DE LERMA,30,0,4405
6427010014,VILLA LUZURIAGA,6,BUENOS AIRES,427,LA MATANZA,10,14,1754
6364030000,GENERAL RODRIGUEZ,6,BUENOS AIRES,364,GENERAL RODRÍGUEZ,30,0,1748
30084060000,COLONIA AVELLANEDA,30,ENTRE RÍOS,84,PARANÁ,60,0,3122
