localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,cp,domicilio,longitud,latitud
74035070000,VILLA MERCEDES,74,SAN LUIS,35,GENERAL PEDERNERA,70,0,5730,AVENIDA MITRE Nº 601,-65.4644316,-33.6821801
86077010000,AÑATUYA,86,SANTIAGO DEL ESTERO,77,GENERAL TABOADA,10,0,3760,Av 25 DE MAYO 73,-62.83939362,-28.46205133
70021020000,CALINGASTA,70,SAN JUAN,21,CALINGASTA,20,0,5403,BARRIO RIO CALINGASTA MZNA C CASA 3,-69.42191005,-31.33294658
78021140,RÍO TURBIO,78,SANTA CRUZ,21,GÜER AIKE,140,,9407,Gendarmeria Nacional  Nº 63,-72.32575,-51.53655
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,LAMADRID 1987,-60.66203649,-32.99750945
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,MENDOZA AV 7940,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,MITRE BARTOLOME 4408,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,MONTEVIDEO 1732,-60.64938909,-32.95454503
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,NECOCHEA 3118,-60.63099451,-32.97606064
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,PARAGUAY 1159,-60.64486452,-32.9499885
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,ROCA JULIO ARGENTINO PTE 2508,,
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,RIOBAMBA 3595,-60.67646951,-32.9568899
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SALTA AV 1975,-60.64850429,-32.9372715
82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,0,2000,SAN JUAN 3292,-60.669133,-32.94479042
