establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,tipologia_id,tipologia_sigla,cp,domicilio,sitio_web,longitud,latitud
FARMACENTER,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,J. MEDRANO 1808,,,
BESANA,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,RIVADAVIA 1303,,-60.76735445,-32.99936593
CHITARRONI,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,SAN MARTIN 1765,,-60.77259174,-32.99949524
DE LA PLAZA,82084210000,PEREZ,82,SANTA FE,84,ROSARIO,210,70,FARMACIA,2121,YAPEYU 1612,,-60.77028697,-32.99960976
CARINO,82028170000,PEYRANO,82,SANTA FE,28,CONSTITUCIÓN,170,70,FARMACIA,2113,CENTENARIO 824,,-60.80141574,-33.53920027
FERRETTI,82028170000,PEYRANO,82,SANTA FE,28,CONSTITUCIÓN,170,70,FARMACIA,2113,CENTENARIO 701,,-60.80248034,-33.54018275
BACLINI,82084230000,PUEBLO ESTHER,82,SANTA FE,84,ROSARIO,230,70,FARMACIA,2126,ALBERDI 1007,,-60.58105344,-33.07095136
SANCHEZ,82084230000,PUEBLO ESTHER,82,SANTA FE,84,ROSARIO,230,70,FARMACIA,2126,CORDOBA 1994,,-60.57750876,-33.07481331
GHERARDI,82084230000,PUEBLO ESTHER,82,SANTA FE,84,ROSARIO,230,70,FARMACIA,2126,J.B. ALBERDI 1345,,,
FILIPINI,82084230000,PUEBLO ESTHER,82,SANTA FE,84,ROSARIO,230,70,FARMACIA,2126,J.D. PERON 1848,,,
DE GRANDIS,82119080000,PUERTO GENERAL SAN MARTIN,82,SANTA FE,119,SAN LORENZO,80,70,FARMACIA,2202,BELGRANO 225,,-60.73510393,-32.71660428
GOBBO,82119080000,PUERTO GENERAL SAN MARTIN,82,SANTA FE,119,SAN LORENZO,80,70,FARMACIA,2202,BELGRANO 502,,-60.73450422,-32.71410787
LESZKIEWICZ,82119080000,PUERTO GENERAL SAN MARTIN,82,SANTA FE,119,SAN LORENZO,80,70,FARMACIA,2202,BUENOS AIRES  1018,,-60.73642941,-32.71185533
SCHLIETTER,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,DE URQUIZA JUSTO JOSE 3146,,,
SILVANA LORENZETTI,82084270000,ROSARIO,82,SANTA FE,84,ROSARIO,270,70,FARMACIA,2000,VIAMONTE 88,,-60.62878187,-32.96782638
